Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Pfr_ID,AV,Team,Round,Pick
Michael Robinson,WR,73,227,4.57,,,,,,2006,RobiMi00,4,San Francisco 49ers,4,100
Cory Rodgers,WR,72,188,4.58,33.5,,110,7.37,4.19,2006,,0,Green Bay Packers,4,104
Richie Ross,WR,76,209,4.61,37,,120,6.95,4.29,2006,,0,,,
Brad Smith,WR,74,213,4.46,39.5,,128,7,4.33,2006,SmitBr01,6,New York Jets,4,103
Clinton Solomon,WR,75,214,4.58,33,,114,7.17,4.46,2006,,0,,,
Maurice Stovall,WR,76,217,4.57,35,,122,6.81,4.14,2006,StovMa00,2,Tampa Bay Buccaneers,3,90
Delanie Walker,WR,73,240,4.49,36.5,,118,,,2006,,0,,,
Todd Watkins,WR,74,202,4.4,36,15,118,7.13,4.24,2006,WatkTo20,1,Arizona Cardinals,7,218
Jeff Webb,WR,74,211,4.4,37,,126,6.81,4.08,2006,WebbJe00,2,Kansas City Chiefs,6,190
Brandon Williams,WR,69,179,4.48,34.5,,115,6.87,4.07,2006,WillBr01,0,San Francisco 49ers,3,84
Demetrius Williams,WR,74,197,4.52,38,,127,6.84,4.08,2006,WillDe03,8,Baltimore Ravens,4,111
Travis Wilson,WR,74,214,4.47,36.5,,120,6.7,3.99,2006,WilsTr00,0,Cleveland Browns,3,78
Aundrae Allison,WR,72,198,4.39,37,,127,,,2007,AlliAu00,3,Minnesota Vikings,5,146
Dallas Baker,WR,75,208,4.53,36,,129,6.69,4.19,2007,BakeDa01,0,Pittsburgh Steelers,7,227
Reggie Ball,WR,71,203,4.67,30,15,112,6.9,4.19,2007,,0,,,
David Ball,WR,73,196,4.7,,,,6.94,4.21,2007,,0,,,
Dwayne Bowe,WR,74,221,4.51,33,,125,6.81,4.35,2007,BoweDw00,19,Kansas City Chiefs,1,23
Steve Breaston,WR,72,193,4.46,33,,124,6.9,4.29,2007,BreaSt00,18,Arizona Cardinals,5,142
David Clowney,WR,72,188,4.36,32.5,,123,7,4.15,2007,ClowDa00,3,Green Bay Packers,5,157
Jemalle Cornelius,WR,71,184,4.57,34.5,,123,6.99,4.3,2007,,0,,,
Chris Davis,WR,70,181,4.5,35.5,,115,6.66,4.14,2007,DaviCh02,0,Tennessee Titans,4,128
Buster Davis,WR,73,207,4.41,,,,,,2007,DaviBu99,2,Arizona Cardinals,3,69
Aaron Fairooz,WR,78,209,4.49,36,,125,6.89,4.27,2007,,0,,,
Yamon Figurs,WR,71,174,4.3,,,123,6.85,4.21,2007,FiguYa00,2,Baltimore Ravens,3,74
Joel Filani,WR,74,211,4.57,32.5,17,117,,,2007,,0,Tennessee Titans,6,188
Ted Ginn,WR,71,178,4.38,,,,,,2007,GinnTe00,18,Miami Dolphins,1,9
Anthony Gonzalez,WR,72,193,4.44,38,,123,6.54,4.08,2007,GonzAn00,15,Indianapolis Colts,1,32
Jarrett Hicks,WR,75,210,4.67,34.5,,120,,,2007,,0,,,
Johnnie Lee Higgins,WR,71,186,4.48,36.5,,122,6.62,4.32,2007,HiggJo00,8,Oakland Raiders,3,99
Jason Hill,WR,72,204,4.32,37,,123,7.02,4.22,2007,HillJa00,4,San Francisco 49ers,3,76
Jonathan Holland,WR,72,191,4.45,35.5,15,120,7.12,4.4,2007,HollJo01,1,Oakland Raiders,7,254
Drisan James,WR,72,193,4.52,39,14,126,7.09,4.39,2007,,0,,,
Dwayne Jarrett,WR,76,219,4.62,,,,,,2007,JarrDw00,4,Carolina Panthers,2,45
Calvin Johnson,WR,77,239,4.35,,,,,,2007,JohnCa00,23,Detroit Lions,1,2
Onrea Jones,WR,71,202,4.42,39,,121,7.05,4.28,2007,JoneOn20,0,,,
James Jones,WR,73,207,4.54,34,22,119,7.06,4.2,2007,JoneJa04,14,Green Bay Packers,3,78
Jacoby Jones,WR,75,210,4.5,34,,129,7.03,4.31,2007,JoneJa03,9,Houston Texans,3,73
Jordan Kent,WR,76,217,4.49,,,,,,2007,KentJo20,0,Seattle Seahawks,6,210
Mike Mason,WR,72,190,4.4,39.5,,129,6.94,4.08,2007,,0,,,
Marquay McDaniel,WR,70,205,4.52,33.5,19,114,7.13,4.35,2007,,0,,,
