ID,Player,Tm,Age,Pos,Year,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
4479,Devin Funchess,IND,25,WR,2019,1,1,5,3,60.00%,32,10.7,0,2,60,16,6.4,3,32,0,FuncDe00
4480,Johnny Holton,PIT,29,WR,2019,16,3,15,3,20.00%,21,7,0,1,6.7,18,1.4,0.2,1.3,0,HoltJo00
4481,T.J. Jones,NYG,27,WR,2019,3,0,4,3,75.00%,38,12.7,1,2,75,28,9.5,1,12.7,3,JoneT.00
4482,Chris Lacy,DET,23,WR,2019,7,2,10,3,30.00%,60,20,0,2,30,48,6,0.4,8.6,0,LacyCh00
4483,Marqise Lee,JAX,28,WR,2019,6,1,4,3,75.00%,18,6,0,2,50,8,4.5,0.5,3,0,LeexMa00
4484,Chris Moore,BAL,26,WR,2019,14,1,5,3,60.00%,21,7,0,0,20,13,4.2,0.2,1.5,0,MoorCh00
4485,Stanley Morgan Jr.,CIN,23,WR,2019,11,0,10,3,30.00%,18,6,0,0,20,9,1.8,0.3,1.6,0,MorgSt02
4486,Andre Roberts,BUF,31,WR,2019,13,0,7,3,42.90%,20,6.7,0,1,42.9,7,2.9,0.2,1.5,1,RobeAn00
4487,Russell Shepard,NYG,29,WR,2019,3,0,8,3,37.50%,25,8.3,0,1,25,12,3.1,1,8.3,0,ShepRu00
4488,Bobo Wilson,TAM,24,WR,2019,6,1,11,3,27.30%,35,11.7,0,2,27.3,14,3.2,0.5,5.8,3,WilsJe00
4489,Olamide Zaccheaus,ATL,22,WR,2019,10,0,5,3,60.00%,115,38.3,1,2,60,93,23,0.3,11.5,0,ZaccOl01
4490,Chad Beebe,MIN,25,WR,2019,3,0,2,2,100.00%,70,35,0,2,100,61,35,0.7,23.3,3,BeebCh00
4491,Josh Bellamy,NYJ,30,WR,2019,7,0,3,2,66.70%,20,10,0,1,33.3,15,6.7,0.3,2.9,0,BellJo02
4492,C.J. Board,JAX,26,WR,2019,4,0,4,2,50.00%,31,15.5,0,1,50,23,7.8,0.5,7.8,0,BoarC.00
4493,Fred Brown,DEN,26,WR,2019,13,1,3,2,66.70%,21,10.5,0,1,33.3,16,7,0.2,1.6,1,BrowFr01
4494,Deontay Burnett,PHI,22,WR,2019,1,1,4,2,50.00%,48,24,0,1,50,41,12,2,48,0,BurnDe00
4495,Robert Davis,2TM,24,WR,2019,6,3,5,2,40.00%,17,8.5,0,2,40,11,3.4,0.3,2.8,0,DaviRo00
4496,Ashton Dulin,IND,22,WR,2019,13,0,2,2,100.00%,17,8.5,0,0,50,13,8.5,0.2,1.3,0,DuliAs00
4497,Alexander Hollins,MIN,23,WR,2019,5,1,4,2,50.00%,46,23,0,2,50,35,11.5,0.4,9.2,0,HollAl00
4498,Cody Hollister,TEN,26,WR,2019,5,0,2,2,100.00%,13,6.5,0,0,50,11,6.5,0.4,2.6,0,HollCo00
4499,Ishmael Hyman,TAM,24,WR,2019,2,1,4,2,50.00%,34,17,0,2,50,31,8.5,1,17,0,HymaIs00
4500,Darius Jennings,TEN,27,WR,2019,8,0,5,2,40.00%,17,8.5,0,2,40,11,3.4,0.3,2.1,0,JennDa00
4501,Steven Mitchell,HOU,25,WR,2019,3,1,6,2,33.30%,37,18.5,0,2,33.3,21,6.2,0.7,12.3,0,MitcSt02
4502,Jason Moore,LAC,24,WR,2019,10,0,5,2,40.00%,43,21.5,0,2,40,32,8.6,0.2,4.3,0,MoorJa02
4503,Gunner Olszewski,NWE,23,WR,2019,8,0,4,2,50.00%,34,17,0,1,25,29,8.5,0.3,4.3,1,OlszGu00
4504,Da'Mari Scott,NYG,24,WR,2019,5,2,3,2,66.70%,22,11,0,2,66.7,11,7.3,0.4,4.4,0,ScotDa02
4505,Cam Sims,WAS,23,WR,2019,7,1,3,2,66.70%,27,13.5,0,1,66.7,15,9,0.3,3.9,0,SimsCa00
4506,Mike Thomas,LAR,25,WR,2019,16,0,5,2,40.00%,14,7,0,1,20,9,2.8,0.1,0.9,0,ThomMi04
4507,Michael Walker,JAX,23,WR,2019,7,0,3,2,66.70%,15,7.5,0,1,0,9,5,0.3,2.1,2,WalkMi00
4508,Ventell Bryant,DAL,23,WR,2019,12,0,1,1,100.00%,15,15,1,1,100,15,15,0.1,1.3,0,BryaVe00
4509,Austin Carr,NOR,26,WR,2019,6,3,4,1,25.00%,9,9,0,1,25,9,2.3,0.2,1.5,0,CarrAu00
4510,Rashard Davis,TEN,24,WR,2019,1,0,1,1,100.00%,16,16,0,1,100,16,16,1,16,0,DaviRa01
4511,Quincy Enunwa,NYJ,27,WR,2019,1,1,3,1,33.30%,-4,-4,0,0,33.3,8,-1.3,1,-4,1,EnunQu00
4512,Cyril Grayson,TAM,26,WR,2019,2,0,1,1,100.00%,3,3,0,0,0,3,3,0.5,1.5,0,GrayCy01
4513,Dwayne Harris,OAK,32,WR,2019,3,0,1,1,100.00%,7,7,0,0,0,7,7,0.3,2.3,0,HarrDw00
4514,Krishawn Hogan,NOR,24,WR,2019,8,0,1,1,100.00%,4,4,0,0,0,4,4,0.1,0.5,0,HogaKr00
4515,Jaleel Scott,BAL,24,WR,2019,3,0,3,1,33.30%,6,6,0,0,33.3,6,2,0.3,2,0,ScotJa02
4516,Darrius Shepherd,GNB,24,WR,2019,6,0,2,1,50.00%,1,1,0,0,0,1,0.5,0.2,0.2,1,ShepDa00
4517,Jeff Smith,NYJ,22,WR,2019,1,0,2,1,50.00%,12,12,0,1,50,12,6,1,12,0,SmitJe03
4518,John Ursua,SEA,25,WR,2019,3,0,1,1,100.00%,11,11,0,1,100,11,11,0.3,3.7,0,UrsuJo00
4519,Travis Fulgham,DET,24,WR,2019,3,0,3,0,0.00%,0,,0,0,0,0,0,0,0,,FulgTr00
4520,Jalen Guyton,LAC,22,WR,2019,3,0,2,0,0.00%,0,,0,0,0,0,0,0,0,,GuytJa01
4521,Justin Hardee,NOR,25,WR,2019,16,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,HardJu01
4522,Lil'Jordan Humphrey,NOR,21,WR,2019,5,1,1,0,0.00%,0,,0,0,0,0,0,0,0,,HumpLi01
4523,Taywan Taylor,CLE,24,WR,2019,3,1,1,0,0.00%,0,,0,0,0,0,0,0,0,0,TaylTa00
4524,Chad Williams,IND,25,WR,2019,1,0,1,0,0.00%,0,,0,0,0,0,0,0,0,,WillCh05
4525,Stefon Diggs,BUF,27,WR,2020,16,15,166,127,76.50%,1535,12.1,8,73,65.1,55,9.2,7.9,95.9,0,DiggSt00
4526,Davante Adams,GNB,28,WR,2020,14,14,149,115,77.20%,1374,11.9,18,73,65.1,56,9.2,8.2,98.1,1,AdamDa01
4527,DeAndre Hopkins,ARI,28,WR,2020,16,16,160,115,71.90%,1407,12.2,6,75,58.1,60,8.8,7.2,87.9,3,HopkDe00
4528,Allen Robinson,CHI,27,WR,2020,16,16,151,102,67.50%,1250,12.3,6,68,58.3,42,8.3,6.4,78.1,0,RobiAl02
4529,Keenan Allen,LAC,28,WR,2020,14,13,147,100,68.00%,992,9.9,8,61,53.7,28,6.7,7.1,70.9,3,AlleKe00
4530,Tyler Lockett,SEA,28,WR,2020,16,16,132,100,75.80%,1054,10.5,10,57,68.9,47,8,6.3,65.9,1,LockTy00
4531,JuJu Smith-Schuster,PIT,24,WR,2020,16,14,128,97,75.80%,831,8.6,9,48,61.7,31,6.5,6.1,51.9,3,SmitJu00
4532,Robbie Chosen,CAR,27,WR,2020,16,16,136,95,69.90%,1096,11.5,3,49,50,75,8.1,5.9,68.5,1,AndeRo04
4533,Amari Cooper,DAL,26,WR,2020,16,15,130,92,70.80%,1114,12.1,5,54,63.1,69,8.6,5.8,69.6,0,CoopAm00
4534,Cooper Kupp,LAR,27,WR,2020,15,12,124,92,74.20%,974,10.6,3,45,59.7,55,7.9,6.1,64.9,1,KuppCo00
4535,Calvin Ridley,ATL,26,WR,2020,15,15,143,90,62.90%,1374,15.3,9,65,56.6,63,9.6,6,91.6,1,RidlCa00
4536,Robert Woods,LAR,28,WR,2020,16,16,129,90,69.80%,936,10.4,6,46,55,56,7.3,5.6,58.5,2,WoodRo02
4537,Justin Jefferson,MIN,21,WR,2020,16,14,125,88,70.40%,1400,15.9,7,58,61.6,71,11.2,5.5,87.5,1,JeffJu00
4538,Diontae Johnson,PIT,24,WR,2020,15,13,144,88,61.10%,923,10.5,7,45,47.2,47,6.4,5.9,61.5,2,JohnDi01
4539,Tyreek Hill,KAN,26,WR,2020,15,15,135,87,64.40%,1276,14.7,15,57,57.8,75,9.5,5.8,85.1,1,HillTy00
4540,Terry McLaurin,WAS,25,WR,2020,15,15,134,87,64.90%,1118,12.9,4,51,50,68,8.3,5.8,74.5,1,McLaTe00
4541,D.K. Metcalf,SEA,23,WR,2020,16,16,129,83,64.30%,1303,15.7,10,63,58.1,62,10.1,5.2,81.4,1,MetcDK00
4542,Cole Beasley,BUF,31,WR,2020,15,10,107,82,76.60%,967,11.8,4,53,68.2,35,9,5.5,64.5,0,BeasCo00
4543,Brandin Cooks,HOU,27,WR,2020,15,15,119,81,68.10%,1150,14.2,6,51,61.3,57,9.7,5.4,76.7,0,CookBr00
4544,Tyler Boyd,CIN,26,WR,2020,15,8,110,79,71.80%,841,10.6,4,43,57.3,72,7.6,5.3,56.1,1,BoydTy00
4545,Curtis Samuel,CAR,24,WR,2020,15,5,97,77,79.40%,851,11.1,3,39,53.6,44,8.8,5.1,56.7,1,SamuCu00
4546,Marvin Jones,DET,30,WR,2020,16,16,115,76,66.10%,978,12.9,9,52,60,43,8.5,4.8,61.1,0,JoneMa02
4547,CeeDee Lamb,DAL,21,WR,2020,16,14,111,74,66.70%,935,12.6,5,46,51.4,52,8.4,4.6,58.4,2,LambCe00
4548,Adam Thielen,MIN,30,WR,2020,15,15,108,74,68.50%,925,12.5,14,52,62,51,8.6,4.9,61.7,0,ThieAd00
4549,Russell Gage,ATL,24,WR,2020,16,8,109,72,66.10%,786,10.9,4,50,53.2,35,7.2,4.5,49.1,0,GageRu00
4550,Jarvis Landry,CLE,28,WR,2020,15,14,101,72,71.30%,840,11.7,3,46,60.4,32,8.3,4.8,56,2,LandJa00
4551,A.J. Brown,TEN,23,WR,2020,14,12,106,70,66.00%,1075,15.4,11,55,61.3,73,10.1,5,76.8,2,BrowAJ00
4552,Mike Evans,TAM,27,WR,2020,16,16,109,70,64.20%,1006,14.4,13,55,58.7,50,9.2,4.4,62.9,0,EvanMi00
4553,Tee Higgins,CIN,21,WR,2020,16,14,108,67,62.00%,908,13.6,6,52,55.6,67,8.4,4.2,56.8,1,HiggTe00
4554,D.J. Moore,CAR,23,WR,2020,15,14,118,66,55.90%,1193,18.1,4,53,52.5,74,10.1,4.4,79.5,0,MoorD.00
4555,Sterling Shepard,NYG,27,WR,2020,12,12,90,66,73.30%,656,9.9,3,37,60,29,7.3,5.5,54.7,0,ShepSt00
4556,Corey Davis,TEN,25,WR,2020,14,12,92,65,70.70%,984,15.1,5,49,63,75,10.7,4.6,70.3,1,DaviCo03
4557,Chris Godwin,TAM,24,WR,2020,12,12,84,65,77.40%,840,12.9,7,43,64.3,47,10,5.4,70,1,GodwCh00
4558,DeVante Parker,MIA,27,WR,2020,14,11,103,63,61.20%,793,12.6,4,45,54.4,31,7.7,4.5,56.6,1,ParkDe01
4559,Chase Claypool,PIT,22,WR,2020,16,6,109,62,56.90%,873,14.1,9,41,48.6,84,8,3.9,54.6,3,ClayCh01
4560,Darnell Mooney,CHI,23,WR,2020,16,9,98,61,62.20%,631,10.3,4,33,50,53,6.4,3.8,39.4,1,MoonDa00
4561,Emmanuel Sanders,NOR,33,WR,2020,14,5,82,61,74.40%,726,11.9,5,33,68.3,51,8.9,4.4,51.9,1,SandEm00
4562,Brandon Aiyuk,SFO,22,WR,2020,12,11,96,60,62.50%,748,12.5,5,42,57.3,49,7.8,5,62.3,0,AiyuBr00
4563,Jamison Crowder,NYJ,27,WR,2020,12,7,89,59,66.30%,699,11.8,6,32,50.6,69,7.9,4.9,58.3,0,CrowJa00
4564,Michael Gallup,DAL,24,WR,2020,16,15,105,59,56.20%,843,14.3,5,44,47.6,55,8,3.7,52.7,0,GallMi00
4565,Jakobi Meyers,NWE,24,WR,2020,14,9,81,59,72.80%,729,12.4,0,37,59.3,35,9,4.2,52.1,1,MeyeJa01
4566,Marquise Brown,BAL,23,WR,2020,16,14,100,58,58.00%,769,13.3,8,35,45,70,7.7,3.6,48.1,0,BrowMa04
4567,Laviska Shenault Jr.,JAX,22,WR,2020,14,12,79,58,73.40%,600,10.3,5,33,53.2,36,7.6,4.1,42.9,0,ShenLa00
4568,T.Y. Hilton,IND,31,WR,2020,15,15,93,56,60.20%,762,13.6,5,42,53.8,50,8.2,3.7,50.8,0,HiltT.00
4569,Hunter Renfrow,LVR,25,WR,2020,16,6,77,56,72.70%,656,11.7,2,32,57.1,53,8.5,3.5,41,2,RenfHu00
4570,Keelan Cole,JAX,27,WR,2020,16,5,88,55,62.50%,642,11.7,5,34,58,51,7.3,3.4,40.1,0,ColeKe00
4571,Larry Fitzgerald,ARI,37,WR,2020,13,13,72,54,75.00%,409,7.6,1,25,54.2,18,5.7,4.2,31.5,0,FitzLa00
4572,DJ Chark,JAX,24,WR,2020,13,12,93,53,57.00%,706,13.3,5,37,48.4,73,7.6,4.1,54.3,0,CharDJ00
4573,Will Fuller,HOU,26,WR,2020,11,11,75,53,70.70%,879,16.6,8,38,65.3,77,11.7,4.8,79.9,0,FullWi01
4574,Greg Ward,PHI,25,WR,2020,16,10,79,53,67.10%,419,7.9,6,24,51.9,32,5.3,3.3,26.2,2,WardGr02
4575,Jerry Jeudy,DEN,21,WR,2020,16,14,113,52,46.00%,856,16.5,3,39,36.3,92,7.6,3.3,53.5,2,JeudJe00
4576,Josh Reynolds,LAR,25,WR,2020,16,13,81,52,64.20%,618,11.9,2,31,56.8,40,7.6,3.3,38.6,2,ReynJo00
4577,Julio Jones,ATL,31,WR,2020,9,9,68,51,75.00%,771,15.1,3,36,64.7,44,11.3,5.7,85.7,0,JoneJu02
4578,Tim Patrick,DEN,27,WR,2020,15,15,79,51,64.60%,742,14.5,6,33,55.7,61,9.4,3.4,49.5,0,PatrTi00
4579,Darius Slayton,NYG,23,WR,2020,16,15,96,50,52.10%,751,15,3,40,49,41,7.8,3.1,46.9,1,SlayDa01
4580,Kendrick Bourne,SFO,25,WR,2020,15,5,74,49,66.20%,667,13.6,2,35,58.1,49,9,3.3,44.5,0,BourKe00
4581,Anthony Miller,CHI,26,WR,2020,16,6,76,49,64.50%,485,9.9,2,23,44.7,34,6.4,3.1,30.3,2,MillAn02
4582,Nelson Agholor,LVR,27,WR,2020,16,13,82,48,58.50%,896,18.7,8,37,53.7,85,10.9,3,56,0,AghoNe00
4583,Christian Kirk,ARI,24,WR,2020,14,10,79,48,60.80%,621,12.9,6,30,49.4,80,7.9,3.4,44.4,1,KirkCh01
4584,Mike Williams,LAC,26,WR,2020,15,11,85,48,56.50%,756,15.8,5,35,50.6,64,8.9,3.2,50.4,0,WillMi07
4585,Damiere Byrd,NWE,27,WR,2020,16,14,77,47,61.00%,604,12.9,1,29,50.6,42,7.8,2.9,37.8,3,ByrdDa00
4586,A.J. Green,CIN,32,WR,2020,16,14,104,47,45.20%,523,11.1,2,34,40.4,33,5,2.9,32.7,0,GreeA.00
4587,Danny Amendola,DET,35,WR,2020,14,5,69,46,66.70%,602,13.1,0,30,52.2,50,8.7,3.3,43,0,AmenDa00
4588,Antonio Brown,TAM,32,WR,2020,8,4,62,45,72.60%,483,10.7,4,27,61.3,46,7.8,5.6,60.4,0,BrowAn04
4589,Demarcus Robinson,KAN,26,WR,2020,16,9,59,45,76.30%,466,10.4,3,26,59.3,28,7.9,2.8,29.1,2,RobiDe01
4590,Zach Pascal,IND,26,WR,2020,16,14,71,44,62.00%,629,14.3,5,29,54.9,42,8.9,2.8,39.3,0,PascZa00
4591,Mecole Hardman,KAN,22,WR,2020,16,8,62,41,66.10%,560,13.7,4,23,54.8,49,9,2.6,35,2,HardMe00
4592,Chris Conley,JAX,28,WR,2020,15,4,63,40,63.50%,471,11.8,2,24,58.7,51,7.5,2.7,31.4,1,ConlCh00
4593,Michael Pittman Jr.,IND,23,WR,2020,13,8,61,40,65.60%,503,12.6,1,22,50.8,45,8.2,3.1,38.7,0,PittMi01
4594,Michael Thomas,NOR,27,WR,2020,7,5,55,40,72.70%,438,11,0,25,61.8,24,8,5.7,62.6,0,ThomMi05
4595,Randall Cobb,HOU,30,WR,2020,10,2,48,38,79.20%,441,11.6,3,20,70.8,34,9.2,3.8,44.1,0,CobbRa00
4596,Travis Fulgham,PHI,25,WR,2020,13,8,67,38,56.70%,539,14.2,4,26,52.2,42,8,2.9,41.5,0,FulgTr00
4597,Braxton Berrios,NYJ,25,WR,2020,16,2,55,37,67.30%,394,10.6,3,19,49.1,43,7.2,2.3,24.6,0,BerrBr00
4598,Rashard Higgins,CLE,26,WR,2020,13,6,52,37,71.20%,599,16.2,4,26,69.2,43,11.5,2.8,46.1,3,HiggRa00
4599,Sammy Watkins,KAN,27,WR,2020,10,9,55,37,67.30%,421,11.4,2,27,65.5,37,7.7,3.7,42.1,1,WatkSa00
4600,Jakeem Grant,MIA,28,WR,2020,14,4,54,36,66.70%,373,10.4,1,22,53.7,30,6.9,2.6,26.6,2,GranJa00
4601,Gabriel Davis,BUF,21,WR,2020,16,11,62,35,56.50%,599,17.1,7,27,53.2,56,9.7,2.2,37.4,1,DaviGa01
4602,David Moore,SEA,25,WR,2020,16,6,47,35,74.50%,417,11.9,6,18,53.2,57,8.9,2.2,26.1,1,MoorDa03
4603,Golden Tate,NYG,32,WR,2020,12,4,52,35,67.30%,388,11.1,2,19,44.2,39,7.5,2.9,32.3,0,TateGo00
4604,Tre'Quan Smith,NOR,24,WR,2020,14,10,50,34,68.00%,448,13.2,4,22,54,31,9,2.4,32,1,SmitTr03
4605,John Brown,BUF,30,WR,2020,9,8,52,33,63.50%,458,13.9,3,22,57.7,46,8.8,3.7,50.9,0,BrowJo02
4606,Keke Coutee,HOU,23,WR,2020,8,4,40,33,82.50%,400,12.1,3,19,65,64,10,4.1,50,4,CoutKe00
4607,N'Keal Harry,NWE,23,WR,2020,14,9,57,33,57.90%,309,9.4,2,15,49.1,30,5.4,2.4,22.1,1,HarrNK00
4608,Allen Lazard,GNB,25,WR,2020,10,9,46,33,71.70%,451,13.7,3,23,69.6,72,9.8,3.3,45.1,0,LazaAl00
4609,Scott Miller,TAM,23,WR,2020,16,5,53,33,62.30%,501,15.2,3,20,45.3,48,9.5,2.1,31.3,0,MillSc01
4610,Deebo Samuel,SFO,24,WR,2020,7,5,44,33,75.00%,391,11.8,1,19,59.1,35,8.9,4.7,55.9,0,SamuDe00
4611,Willie Snead,BAL,28,WR,2020,13,8,48,33,68.80%,432,13.1,3,23,58.3,34,9,2.5,33.2,1,SneaWi00
4612,Marquez Valdes-Scantling,GNB,26,WR,2020,16,12,63,33,52.40%,690,20.9,6,27,49.2,78,11,2.1,43.1,1,ValdMa00
4613,Cam Sims,WAS,24,WR,2020,16,10,48,32,66.70%,477,14.9,1,18,52.1,50,9.9,2,29.8,1,SimsCa00
4614,Jalen Reagor,PHI,21,WR,2020,11,11,54,31,57.40%,396,12.8,1,19,46.3,55,7.3,2.8,36,2,ReagJa00
4615,KJ Hamler,DEN,21,WR,2020,13,4,56,30,53.60%,381,12.7,3,17,37.5,49,6.8,2.3,29.3,2,HamlKJ00
4616,Isaiah McKenzie,BUF,25,WR,2020,16,7,34,30,88.20%,282,9.4,5,17,64.7,46,8.3,1.9,17.6,0,McKeIs00
4617,Breshad Perriman,NYJ,27,WR,2020,12,12,60,30,50.00%,505,16.8,3,20,36.7,53,8.4,2.5,42.1,0,PerrBr02
4618,James Washington,PIT,24,WR,2020,16,7,56,30,53.60%,392,13.1,5,19,42.9,50,7,1.9,24.5,0,WashJa00
4619,Lynn Bowden Jr.,MIA,23,WR,2020,10,4,37,28,75.70%,211,7.5,0,13,51.4,22,5.7,2.8,21.1,0,BowdLy00
4620,Isaiah Ford,MIA,24,WR,2020,10,1,44,28,63.60%,276,9.9,0,18,59.1,18,6.3,2.8,27.6,0,FordIs00
4621,Jalen Guyton,LAC,23,WR,2020,16,9,55,28,50.90%,511,18.3,3,18,41.8,72,9.3,1.8,31.9,0,GuytJa01
4622,Steven Sims,WAS,23,WR,2020,12,2,37,27,73.00%,265,9.8,1,13,51.4,30,7.2,2.3,22.1,4,SimsSt00
4623,Isaiah Wright,WAS,23,WR,2020,14,6,35,27,77.10%,197,7.3,0,10,48.6,22,5.6,1.9,14.1,3,WrigIs01
4624,Henry Ruggs III,LVR,21,WR,2020,13,12,43,26,60.50%,452,17.4,2,13,53.5,72,10.5,2,34.8,2,RuggHe00
4625,Odell Beckham Jr.,CLE,28,WR,2020,7,7,43,23,53.50%,319,13.9,3,17,44.2,43,7.4,3.3,45.6,0,BeckOd00
4626,DaeSean Hamilton,DEN,25,WR,2020,16,2,44,23,52.30%,293,12.7,2,16,47.7,40,6.7,1.4,18.3,1,HamiDa01
4627,Adam Humphries,TEN,27,WR,2020,7,1,35,23,65.70%,228,9.9,2,11,54.3,23,6.5,3.3,32.6,0,HumpAd00
4628,Richie James,SFO,25,WR,2020,11,7,35,23,65.70%,394,17.1,1,15,48.6,47,11.3,2.1,35.8,2,JameRi00
4629,Denzel Mims,NYJ,23,WR,2020,9,8,44,23,52.30%,357,15.5,0,15,40.9,30,8.1,2.6,39.7,0,MimsDe00
4630,Marquez Callaway,NOR,22,WR,2020,11,3,27,21,77.80%,213,10.1,0,10,70.4,27,7.9,1.9,19.4,0,CallMa01
4631,Julian Edelman,NWE,34,WR,2020,6,1,39,21,53.80%,315,15,0,18,51.3,49,8.1,3.5,52.5,0,EdelJu00
4632,Andy Isabella,ARI,24,WR,2020,13,2,35,21,60.00%,224,10.7,2,10,40,54,6.4,1.6,17.2,1,IsabAn00
4633,Cordarrelle Patterson,CHI,29,WR,2020,16,3,25,21,84.00%,132,6.3,0,7,48,25,5.3,1.3,8.3,0,PattCo00
4634,Chad Beebe,MIN,26,WR,2020,14,0,30,20,66.70%,201,10.1,2,12,50,40,6.7,1.4,14.4,2,BeebCh00
4635,Quintez Cephus,DET,22,WR,2020,13,2,35,20,57.10%,349,17.5,2,16,54.3,49,10,1.5,26.8,0,CephQu00
4636,Devin Duvernay,BAL,23,WR,2020,16,3,26,20,76.90%,201,10.1,0,8,46.2,39,7.7,1.3,12.6,0,DuveDe00
4637,Kenny Golladay,DET,27,WR,2020,5,5,32,20,62.50%,338,16.9,2,16,53.1,48,10.6,4,67.6,0,GollKe00
4638,Deonte Harty,NOR,23,WR,2020,9,2,25,20,80.00%,186,9.3,1,10,60,40,7.4,2.2,20.7,3,HarrDe07
4639,Tyron Johnson,LAC,24,WR,2020,12,0,26,20,76.90%,398,19.9,3,15,61.5,55,15.3,1.7,33.2,0,JohnTy03
4640,Ray-Ray McCloud,PIT,24,WR,2020,16,2,22,20,90.90%,77,3.9,0,3,40.9,13,3.5,1.3,4.8,2,McClRa00
4641,Olamide Zaccheaus,ATL,23,WR,2020,11,2,32,20,62.50%,274,13.7,1,16,56.3,51,8.6,1.8,24.9,0,ZaccOl01
4642,Miles Boykin,BAL,24,WR,2020,16,13,33,19,57.60%,266,14,4,14,48.5,43,8.1,1.2,16.6,0,BoykMi00
4643,Van Jefferson,LAR,24,WR,2020,16,0,31,19,61.30%,220,11.6,1,11,54.8,31,7.1,1.2,13.8,1,JeffVa00
4644,Marvin Hall,2TM,27,WR,2020,12,6,32,18,56.30%,302,16.8,2,10,53.1,73,9.4,1.5,25.2,0,HallMa02
4645,Dontrelle Inman,WAS,31,WR,2020,10,2,28,18,64.30%,163,9.1,2,11,50,17,5.8,1.8,16.3,1,InmaDo00
4646,Collin Johnson,JAX,23,WR,2020,14,0,31,18,58.10%,272,15.1,2,12,51.6,46,8.8,1.3,19.4,0,JohnCo01
4647,Preston Williams,MIA,23,WR,2020,8,7,35,18,51.40%,288,16,4,14,45.7,47,8.2,2.3,36,0,WillPr01
4648,Chad Hansen,HOU,25,WR,2020,5,2,24,17,70.80%,236,13.9,1,11,66.7,38,9.8,3.4,47.2,0,HansCh00
4649,Mohamed Sanu,2TM,31,WR,2020,10,4,24,17,70.80%,187,11,1,13,66.7,21,7.8,1.7,18.7,0,SanuMo00
4650,Jeff Smith,NYJ,23,WR,2020,12,4,37,17,45.90%,167,9.8,0,9,32.4,21,4.5,1.4,13.9,0,SmitJe03
4651,Cedrick Wilson Jr.,DAL,25,WR,2020,16,0,28,17,60.70%,189,11.1,2,10,53.6,42,6.8,1.1,11.8,0,WilsCe01
4652,Mack Hollins,MIA,27,WR,2020,16,2,25,16,64.00%,176,11,1,7,56,34,7,1,11,1,HollMa00
4653,KeeSean Johnson,ARI,24,WR,2020,8,1,23,15,65.20%,173,11.5,0,7,47.8,45,7.5,1.9,21.6,0,JohnKe07
4654,Noah Brown,DAL,24,WR,2020,16,1,24,14,58.30%,154,11,0,6,54.2,20,6.4,0.9,9.6,0,BrowNo00
4655,Chris Hogan,NYJ,33,WR,2020,5,4,26,14,53.80%,118,8.4,0,6,46.2,27,4.5,2.8,23.6,0,HogaCh00
4656,DeSean Jackson,PHI,34,WR,2020,5,5,26,14,53.80%,236,16.9,1,10,46.2,81,9.1,2.8,47.2,0,JackDe00
4657,Marcus Johnson,IND,26,WR,2020,11,3,28,14,50.00%,255,18.2,0,11,46.4,55,9.1,1.3,23.2,0,JohnMa07
4658,Olabisi Johnson,MIN,23,WR,2020,16,3,19,14,73.70%,189,13.5,0,9,63.2,29,9.9,0.9,11.8,0,JohnOl00
4659,Zay Jones,LVR,25,WR,2020,16,2,20,14,70.00%,154,11,1,6,55,37,7.7,0.9,9.6,0,JoneZa00
4660,Donovan Peoples-Jones,CLE,21,WR,2020,12,2,20,14,70.00%,304,21.7,2,10,60,75,15.2,1.2,25.3,0,PeopDo00
4661,Auden Tate,CIN,23,WR,2020,9,2,22,14,63.60%,150,10.7,0,9,50,19,6.8,1.6,16.7,0,TateAu00
4662,Jamal Agnew,DET,25,WR,2020,14,2,20,13,65.00%,89,6.8,0,4,35,20,4.5,0.9,6.4,2,AgneJa00
4663,Christian Blake,ATL,24,WR,2020,16,0,18,13,72.20%,141,10.8,0,6,50,25,7.8,0.8,8.8,0,BlakCh00
4664,Byron Pringle,KAN,27,WR,2020,13,3,17,13,76.50%,160,12.3,1,9,64.7,37,9.4,1,12.3,0,PrinBy00
4665,Freddie Swain,SEA,22,WR,2020,16,1,21,13,61.90%,159,12.2,2,6,42.9,23,7.6,0.8,9.9,0,SwaiFr00
4666,Mike Thomas,CIN,26,WR,2020,14,0,21,13,61.90%,132,10.2,1,7,47.6,29,6.3,0.9,9.4,1,ThomMi04
4667,Cameron Batson,TEN,25,WR,2020,12,1,13,12,92.30%,100,8.3,1,7,76.9,18,7.7,1,8.3,1,BatsCa00
4668,Alex Erickson,CIN,28,WR,2020,16,2,17,12,70.60%,139,11.6,0,5,52.9,42,8.2,0.8,8.7,2,EricAl01
4669,Tyler Johnson,TAM,22,WR,2020,14,3,17,12,70.60%,169,14.1,2,9,52.9,35,9.9,0.9,12.1,0,JohnTy00
4670,Brandon Powell,ATL,25,WR,2020,15,1,18,12,66.70%,69,5.8,2,5,38.9,13,3.8,0.8,4.6,2,PoweBr00
4671,C.J. Board,NYG,27,WR,2020,14,4,16,11,68.80%,101,9.2,0,6,43.8,16,6.3,0.8,7.2,0,BoarC.00
4672,Bryan Edwards,LVR,22,WR,2020,12,3,15,11,73.30%,193,17.5,1,9,66.7,34,12.9,0.9,16.1,0,EdwaBr01
